CVE_ID,Published,CVSS,Products,Description
"CVE-2013-1606","2013-07-18","7.5","aircam, aircam_dome, aircam_mini","Buffer overflow in the ubnt-streamer RTSP service on the Ubiquiti UBNT AirCam with airVision firmware before 1.1.6 allows remote attackers to execute arbitrary code via a long rtsp: URI in a DESCRIBE "
"CVE-2013-3572","2013-12-31","6.1","unifi_controller","Cross-site scripting (XSS) vulnerability in the administer interface in the UniFi Controller in Ubiquiti Networks UniFi 2.3.5 and earlier allows remote attackers to inject arbitrary web script or HTML"
"CVE-2014-2227","2014-07-25","6.0","unifi_video","The default Flash cross-domain policy (crossdomain.xml) in Ubiquiti Networks UniFi Video (formerly AirVision aka AirVision Controller) before 3.0.1 does not restrict access to the application, which a"
"CVE-2014-2226","2014-07-29","2.6","unifi_controller","Ubiquiti UniFi Controller before 3.2.1 logs the administrative password hash in syslog messages, which allows man-in-the-middle attackers to obtain sensitive information via unspecified vectors."
"CVE-2016-7792","2017-01-23","8.8","unifi_ap_ac_lite, unifi_ap_ac_lite_firmware","Ubiquiti Networks UniFi 5.2.7 does not restrict access to the database, which allows remote attackers to modify the database by directly connecting to it."
"CVE-2016-6914","2017-12-27","7.8","unifi_video, windows","Ubiquiti UniFi Video before 3.8.0 for Windows uses weak permissions for the installation directory, which allows local users to gain SYSTEM privileges via a Trojan horse taskkill.exe file."
"CVE-2017-0932","2018-03-22","8.8","edgeos","Ubiquiti Networks EdgeOS version 1.9.1.1 and prior suffer from an Improper Privilege Management vulnerability due to the lack of validation on the input of the Feature functionality. An attacker with "
"CVE-2017-0933","2018-03-22","8.0","edgeos","Ubiquiti Networks EdgeOS version 1.9.1 and prior suffer from a Cross-Site Request Forgery (CSRF) vulnerability. An attacker with access to an operator (read-only) account could lure an admin (root) us"
"CVE-2017-0934","2018-03-22","8.8","edgeos","Ubiquiti Networks EdgeOS version 1.9.1 and prior suffer from an Improper Privilege Management vulnerability due to the lack of protection of the file system leading to sensitive information being expo"
"CVE-2017-0935","2018-03-22","8.8","edgeos","Ubiquiti Networks EdgeOS version 1.9.1.1 and prior suffer from an Improper Privilege Management vulnerability due to the lack of protection of the file system leading to sensitive information being ex"
"CVE-2018-12590","2018-06-20","7.2","edgeswitch, edgeswitch_firmware","Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an externally controlled format-string vulnerability due to lack of protection on the admin CLI, leading to code execution and privileg"
"CVE-2018-12591","2018-06-20","7.2","edgeswitch, edgeswitch_firmware","Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an improperly neutralized element in an OS command due to lack of protection on the admin CLI, leading to code execution and privilege "
"CVE-2017-0912","2018-07-03","5.4","ucrm","Ubiquiti UCRM versions 2.5.0 to 2.7.7 are vulnerable to Stored Cross-site Scripting. Due to the lack sanitization, it is possible to inject arbitrary HTML code by manipulating the uploaded filename. S"
"CVE-2017-0913","2018-07-03","4.7","ucrm","Ubiquiti UCRM versions 2.3.0 to 2.7.7 allow an authenticated user to read arbitrary files in the local file system. Note that by default, the local file system is isolated in a docker container. Succe"
"CVE-2015-9266","2018-09-05","9.8","af5, af5_firmware, af5x","The web management interface of Ubiquiti airMAX, airFiber, airGateway and EdgeSwitch XP (formerly TOUGHSwitch) allows an unauthenticated attacker to upload and write arbitrary files using directory tr"
"CVE-2019-5424","2019-04-10","8.8","edgeswitch_x","In Ubiquiti Networks EdgeSwitch X v1.1.0 and prior, a privileged user can execute arbitrary shell commands over the SSH CLI interface. This allows to execute shell commands under the root user."
"CVE-2019-5425","2019-04-10","8.8","edgeswitch_x","In Ubiquiti Networks EdgeSwitch X v1.1.0 and prior, an authenticated user can execute arbitrary shell commands over the SSH interface bypassing the CLI interface, which allow them to escalate privileg"
"CVE-2019-5426","2019-04-10","4.8","edgeswitch_x","In Ubiquiti Networks EdgeSwitch X v1.1.0 and prior, an unauthenticated user can use the ""local port forwarding"" and ""dynamic port forwarding"" (SOCKS proxy) functionalities. Remote attackers withou"
"CVE-2019-12727","2019-06-04","7.5","aircam, aircam_firmware","On Ubiquiti airCam 3.1.4 devices, a Denial of Service vulnerability exists in the RTSP Service provided by the ubnt-streamer binary. The issue can be triggered via malformed RTSP requests that lead to"
"CVE-2018-5265","2019-06-07","7.2","edgeos, erlite-3","Ubiquiti EdgeOS 1.9.1 on EdgeRouter Lite devices allows remote attackers to execute arbitrary code with admin credentials, because /opt/vyatta/share/vyatta-cfg/templates/system/static-host-mapping/hos"
"CVE-2018-5264","2019-06-07","5.9","unifi_52, unifi_firmware","Ubiquiti UniFi 52 devices, when Hotspot mode is used, allow remote attackers to bypass intended restrictions on ""free time"" Wi-Fi usage by sending a /guest/s/default/ request to obtain a cookie, and"
"CVE-2010-5330","2019-06-11","9.8","airos","On certain Ubiquiti devices, Command Injection exists via a GET request to stainfo.cgi (aka Show AP info) because the ifname variable is not sanitized, as demonstrated by shell metacharacters. The fix"
"CVE-2019-16889","2019-09-25","7.5","ep-r6, ep-r6_firmware, ep-r8","Ubiquiti EdgeMAX devices before 2.0.3 allow remote attackers to cause a denial of service (disk consumption) because *.cache files in /var/run/beaker/container_file/ are created when providing a valid"
"CVE-2014-2225","2020-02-08","8.8","airvision_controller, mfi_controller, unifi_controller","Multiple cross-site request forgery (CSRF) vulnerabilities in Ubiquiti Networks UniFi Controller before 3.2.1 allow remote attackers to hijack the authentication of administrators for requests that (1"
"CVE-2020-27888","2020-10-27","7.5","unifi_controller, unifi_controller_firmware, unifi_meshing_access_point","An issue was discovered on Ubiquiti UniFi Meshing Access Point UAP-AC-M 4.3.21.11325 and UniFi Controller 6.0.28 devices. Cached credentials are not erased from an access point returning wirelessly fr"
"CVE-2020-24755","2021-05-17","7.8","unifi_video","In Ubiquiti UniFi Video v3.10.13, when the executable starts, its first library validation is in the current directory. This allows the impersonation and modification of the library to execute code on"
"CVE-2023-23119","2023-02-02","5.9","af-2x, af-2x_firmware","The use of the cyclic redundancy check (CRC) algorithm for integrity check during firmware update makes Ubiquiti airFiber AF2X Radio firmware version 3.2.2 and earlier vulnerable to firmware modificat"
"CVE-2023-24104","2023-02-23","9.8","unifi_dream_machine_pro, unifi_dream_machine_pro_firmware","Ubiquiti Networks UniFi Dream Machine Pro v7.2.95 allows attackers to bypass domain restrictions via crafted packets."
"CVE-2023-1456","2023-03-25","7.2","edgerouter_x, edgerouter_x_firmware","A vulnerability, which was classified as critical, has been found in Ubiquiti EdgeRouter X 2.0.9-hotfix.6. This issue affects some unknown processing of the component NAT Configuration Handler. The ma"
"CVE-2023-1457","2023-03-25","7.2","edgerouter_x, edgerouter_x_firmware","A vulnerability, which was classified as critical, was found in Ubiquiti EdgeRouter X 2.0.9-hotfix.6. Affected is an unknown function of the component Static Routing Configuration Handler. The manipul"
"CVE-2023-1458","2023-03-25","7.2","edgerouter_x, edgerouter_x_firmware","A vulnerability has been found in Ubiquiti EdgeRouter X 2.0.9-hotfix.6 and classified as critical. Affected by this vulnerability is an unknown functionality of the component OSPF Handler. The manipul"
"CVE-2023-2373","2023-04-28","6.3","edgemax_edgerouter_firmware, er-x, er-x-sfp","A vulnerability, which was classified as critical, was found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6. This affects an unknown part of the component Web Management Interface. The manipulation of "
"CVE-2023-2374","2023-04-28","6.3","er-x, er-x-sfp, er-x-sfp_firmware","A vulnerability has been found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6 and classified as critical. This vulnerability affects unknown code of the component Web Management Interface. The manipula"
"CVE-2023-2375","2023-04-28","6.3","er-x, er-x-sfp, er-x-sfp_firmware","A vulnerability was found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6 and classified as critical. This issue affects some unknown processing of the component Web Management Interface. The manipulati"
"CVE-2023-2376","2023-04-28","6.3","er-x, er-x-sfp, er-x-sfp_firmware","A vulnerability was found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6. It has been classified as critical. Affected is an unknown function of the component Web Management Interface. The manipulation"
"CVE-2023-2377","2023-04-28","6.3","er-x, er-x-sfp, er-x-sfp_firmware","A vulnerability was found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6. It has been declared as critical. Affected by this vulnerability is an unknown functionality of the component Web Management In"
"CVE-2023-2378","2023-04-28","6.3","er-x, er-x-sfp, er-x-sfp_firmware","A vulnerability was found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6. It has been rated as critical. Affected by this issue is some unknown functionality of the component Web Management Interface. "
"CVE-2023-2379","2023-04-28","7.5","er-x, er-x-sfp, er-x-sfp_firmware","A vulnerability classified as critical has been found in Ubiquiti EdgeRouter X up to 2.0.9-hotfix.6. This affects an unknown part of the component Web Service. The manipulation leads to denial of serv"
"CVE-2024-44540","2024-09-23","6.6","","Ubiquiti AirMax firmware version firmware version 8 allows attackers with physical access to gain a privileged command shell via the UART Debugging Port."
"CVE-2024-54750","2024-12-06","9.8","","Ubiquiti U6-LR 6.6.65 was discovered to contain a hardcoded password vulnerability in /etc/shadow, which allows attackers to log in as root. NOTE: In Ubiquiti's view there is no vulnerability as the H"
"CVE-2024-54749","2024-12-06","7.5","","Ubiquiti U7-Pro 7.0.35 was discovered to contain a hardcoded password vulnerability in /etc/shadow, which allows attackers to log in as root. NOTE: this is disputed by the Supplier because the observa"
"CVE-2019-25651","2026-03-27","8.3","","Ubiquiti UniFi Network Controller prior to 5.10.12 (excluding 5.6.42), UAP FW prior to 4.0.6, UAP-AC, UAP-AC v2, and UAP-AC Outdoor FW prior to 3.8.17, USW FW prior to 4.0.6, USG FW prior to 4.4.34 us"
